"","año","proy_vivos","proy_muertos","proy_emp_vivos","proy_pen_vivos","proy_emp_muertos","proy_pen_muertos"
"1",2024,272,0,272,0,0,0
"2",2025,271.45,0.55,271.45,0,0.55,0
"3",2026,270.88,0.57,269.9,0.98,0.56,0.01
"4",2027,270.28,0.6,268.35,1.93,0.57,0.02
"5",2028,269.66,0.63,266.79,2.86,0.59,0.04
"6",2029,269,0.66,265.22,3.78,0.61,0.05
"7",2030,268.31,0.69,263.64,4.67,0.63,0.06
"8",2031,267.58,0.73,262.04,5.54,0.65,0.08
"9",2032,266.82,0.77,260.43,6.39,0.67,0.09
"10",2033,266.01,0.81,257.86,8.14,0.69,0.12
"11",2034,265.15,0.86,255.29,9.86,0.71,0.15
"12",2035,264.25,0.91,252.7,11.55,0.73,0.18
"13",2036,263.28,0.96,250.09,13.19,0.75,0.21
"14",2037,262.26,1.02,246.56,15.71,0.77,0.25
"15",2038,261.18,1.09,243.01,18.17,0.79,0.3
"16",2039,260.02,1.16,239.44,20.58,0.81,0.34
"17",2040,258.79,1.23,235.86,22.93,0.84,0.39
"18",2041,257.48,1.31,231.35,26.13,0.86,0.45
"19",2042,256.08,1.4,225.92,30.16,0.87,0.53
"20",2043,254.59,1.49,218.68,35.91,0.87,0.62
"21",2044,253,1.59,211.46,41.54,0.86,0.73
"22",2045,251.31,1.69,203.34,47.97,0.85,0.84
"23",2046,249.51,1.8,194.35,55.16,0.84,0.97
"24",2047,247.59,1.92,185.38,62.21,0.82,1.1
"25",2048,245.55,2.04,175.54,70.01,0.79,1.25
"26",2049,243.38,2.17,164.84,78.54,0.75,1.42
"27",2050,241.07,2.31,153.28,87.79,0.71,1.6
"28",2051,238.62,2.45,141.78,96.84,0.66,1.79
"29",2052,236.02,2.6,131.23,104.79,0.62,1.98
"30",2053,233.26,2.76,120.72,112.55,0.58,2.18
"31",2054,230.34,2.93,110.25,120.08,0.53,2.39
"32",2055,227.24,3.1,100.73,126.5,0.49,2.6
"33",2056,223.96,3.27,91.26,132.71,0.45,2.82
"34",2057,220.51,3.46,82.72,137.79,0.42,3.04
"35",2058,216.86,3.65,74.22,142.64,0.38,3.27
"36",2059,213.01,3.85,65.76,147.25,0.34,3.51
"37",2060,208.96,4.05,58.23,150.72,0.31,3.74
"38",2061,204.7,4.26,50.74,153.96,0.28,3.98
"39",2062,200.24,4.46,44.18,156.06,0.25,4.21
"40",2063,195.57,4.67,37.65,157.92,0.22,4.45
"41",2064,190.69,4.88,31.15,159.54,0.18,4.69
"42",2065,185.61,5.08,25.58,160.03,0.15,4.93
"43",2066,180.32,5.29,20.04,160.28,0.12,5.16
"44",2067,174.84,5.48,14.54,160.31,0.09,5.39
"45",2068,169.18,5.67,9.06,160.12,0.06,5.61
"46",2069,163.33,5.85,4.52,158.81,0.03,5.82
"47",2070,157.3,6.02,0,157.3,0,6.02
"48",2071,151.13,6.18,0,151.13,0,6.18
"49",2072,144.81,6.31,0,144.81,0,6.31
"50",2073,138.38,6.43,0,138.38,0,6.43
"51",2074,131.84,6.54,0,131.84,0,6.54
"52",2075,125.23,6.62,0,125.23,0,6.62
"53",2076,118.55,6.67,0,118.55,0,6.67
"54",2077,111.86,6.69,0,111.86,0,6.69
"55",2078,105.17,6.69,0,105.17,0,6.69
"56",2079,98.52,6.65,0,98.52,0,6.65
"57",2080,91.93,6.58,0,91.93,0,6.58
"58",2081,85.45,6.48,0,85.45,0,6.48
"59",2082,79.11,6.34,0,79.11,0,6.34
"60",2083,72.93,6.18,0,72.93,0,6.18
"61",2084,66.94,5.99,0,66.94,0,5.99
"62",2085,61.15,5.79,0,61.15,0,5.79
"63",2086,55.61,5.55,0,55.61,0,5.55
"64",2087,50.31,5.29,0,50.31,0,5.29
"65",2088,45.29,5.03,0,45.29,0,5.03
"66",2089,40.54,4.75,0,40.54,0,4.75
"67",2090,36.07,4.47,0,36.07,0,4.47
"68",2091,31.9,4.17,0,31.9,0,4.17
"69",2092,28.01,3.88,0,28.01,0,3.88
"70",2093,24.43,3.59,0,24.43,0,3.59
"71",2094,21.13,3.3,0,21.13,0,3.3
"72",2095,18.11,3.01,0,18.11,0,3.01
"73",2096,15.38,2.73,0,15.38,0,2.73
"74",2097,12.92,2.46,0,12.92,0,2.46
"75",2098,10.73,2.19,0,10.73,0,2.19
"76",2099,8.8,1.93,0,8.8,0,1.93
"77",2100,7.11,1.69,0,7.11,0,1.69
"78",2101,5.66,1.45,0,5.66,0,1.45
"79",2102,4.42,1.24,0,4.42,0,1.24
"80",2103,3.39,1.03,0,3.39,0,1.03
"81",2104,2.54,0.85,0,2.54,0,0.85
"82",2105,1.86,0.68,0,1.86,0,0.68
"83",2106,1.32,0.54,0,1.32,0,0.54
"84",2107,0.91,0.41,0,0.91,0,0.41
"85",2108,0.61,0.3,0,0.61,0,0.3
"86",2109,0.39,0.22,0,0.39,0,0.22
"87",2110,0.24,0.15,0,0.24,0,0.15
"88",2111,0.14,0.1,0,0.14,0,0.1
"89",2112,0.08,0.06,0,0.08,0,0.06
"90",2113,0.04,0.04,0,0.04,0,0.04
"91",2114,0.02,0.02,0,0.02,0,0.02
"92",2115,0.01,0.01,0,0.01,0,0.01
"93",2116,0,0,0,0,0,0
"94",2117,0,0,0,0,0,0
"95",2118,0,0,0,0,0,0
"96",2119,0,0,0,0,0,0
"97",2120,0,0,0,0,0,0
"98",2121,0,0,0,0,0,0
"99",2122,0,0,0,0,0,0
"100",2123,0,0,0,0,0,0
"101",2124,0,0,0,0,0,0
