"","año","proy_vivas","proy_muertas","proy_emp_vivas","proy_pen_vivas","proy_emp_muertas","proy_pen_muertas"
"1",2024,228,0,228,0,0,0
"2",2025,227.8,0.2,227.8,0,0.2,0
"3",2026,227.58,0.22,226.59,0.99,0.21,0.01
"4",2027,227.35,0.23,225.39,1.96,0.21,0.01
"5",2028,227.11,0.24,224.19,2.92,0.22,0.02
"6",2029,226.85,0.26,222.98,3.87,0.23,0.03
"7",2030,226.57,0.27,221.77,4.81,0.24,0.04
"8",2031,226.28,0.29,220.55,5.73,0.25,0.05
"9",2032,225.97,0.31,219.32,6.65,0.26,0.06
"10",2033,225.64,0.33,218.09,7.54,0.27,0.07
"11",2034,225.28,0.36,216.85,8.43,0.28,0.08
"12",2035,224.89,0.38,214.64,10.26,0.29,0.1
"13",2036,224.48,0.41,212.42,12.06,0.3,0.11
"14",2037,224.04,0.44,210.19,13.85,0.31,0.13
"15",2038,223.57,0.47,207.96,15.6,0.32,0.16
"16",2039,223.05,0.51,205.72,17.34,0.33,0.18
"17",2040,222.5,0.55,202.51,19.99,0.34,0.21
"18",2041,221.91,0.59,199.3,22.61,0.35,0.24
"19",2042,221.27,0.64,195.13,26.14,0.36,0.28
"20",2043,220.58,0.69,190,30.58,0.36,0.33
"21",2044,219.83,0.75,184.88,34.96,0.36,0.39
"22",2045,219.02,0.81,178.8,40.22,0.36,0.45
"23",2046,218.14,0.88,171.77,46.37,0.36,0.52
"24",2047,217.2,0.95,163.8,53.4,0.35,0.6
"25",2048,216.17,1.02,153.94,62.23,0.33,0.69
"26",2049,215.07,1.11,144.1,70.97,0.31,0.79
"27",2050,213.87,1.2,132.37,81.5,0.29,0.91
"28",2051,212.57,1.3,122.57,90,0.27,1.03
"29",2052,211.17,1.4,111.84,99.34,0.24,1.15
"30",2053,209.67,1.51,102.08,107.59,0.22,1.28
"31",2054,208.04,1.63,93.28,114.75,0.21,1.42
"32",2055,206.28,1.76,84.51,121.77,0.19,1.57
"33",2056,204.39,1.89,76.7,127.69,0.17,1.72
"34",2057,202.36,2.03,68.9,133.46,0.15,1.88
"35",2058,200.17,2.19,62.07,138.1,0.14,2.05
"36",2059,197.82,2.35,55.25,142.57,0.13,2.22
"37",2060,195.3,2.52,48.45,146.86,0.11,2.41
"38",2061,192.6,2.7,42.6,150,0.1,2.6
"39",2062,189.71,2.89,36.77,152.94,0.09,2.8
"40",2063,186.62,3.09,30.95,155.68,0.08,3.01
"41",2064,183.32,3.3,26.09,157.24,0.07,3.24
"42",2065,179.8,3.52,21.24,158.56,0.05,3.47
"43",2066,176.06,3.75,16.4,159.66,0.04,3.7
"44",2067,172.08,3.98,11.57,160.51,0.03,3.95
"45",2068,167.86,4.22,7.7,160.16,0.02,4.19
"46",2069,163.4,4.46,3.85,159.56,0.01,4.45
"47",2070,158.7,4.71,0,158.7,0,4.71
"48",2071,153.75,4.95,0,153.75,0,4.95
"49",2072,148.57,5.18,0,148.57,0,5.18
"50",2073,143.16,5.41,0,143.16,0,5.41
"51",2074,137.53,5.63,0,137.53,0,5.63
"52",2075,131.69,5.84,0,131.69,0,5.84
"53",2076,125.66,6.02,0,125.66,0,6.02
"54",2077,119.49,6.18,0,119.49,0,6.18
"55",2078,113.18,6.31,0,113.18,0,6.31
"56",2079,106.78,6.4,0,106.78,0,6.4
"57",2080,100.31,6.46,0,100.31,0,6.46
"58",2081,93.84,6.48,0,93.84,0,6.48
"59",2082,87.38,6.45,0,87.38,0,6.45
"60",2083,81,6.38,0,81,0,6.38
"61",2084,74.72,6.28,0,74.72,0,6.28
"62",2085,68.59,6.13,0,68.59,0,6.13
"63",2086,62.66,5.94,0,62.66,0,5.94
"64",2087,56.95,5.71,0,56.95,0,5.71
"65",2088,51.49,5.46,0,51.49,0,5.46
"66",2089,46.3,5.19,0,46.3,0,5.19
"67",2090,41.4,4.9,0,41.4,0,4.9
"68",2091,36.79,4.6,0,36.79,0,4.6
"69",2092,32.49,4.3,0,32.49,0,4.3
"70",2093,28.49,4,0,28.49,0,4
"71",2094,24.79,3.7,0,24.79,0,3.7
"72",2095,21.38,3.41,0,21.38,0,3.41
"73",2096,18.26,3.12,0,18.26,0,3.12
"74",2097,15.43,2.83,0,15.43,0,2.83
"75",2098,12.88,2.55,0,12.88,0,2.55
"76",2099,10.61,2.28,0,10.61,0,2.28
"77",2100,8.6,2.01,0,8.6,0,2.01
"78",2101,6.85,1.75,0,6.85,0,1.75
"79",2102,5.35,1.5,0,5.35,0,1.5
"80",2103,4.08,1.27,0,4.08,0,1.27
"81",2104,3.03,1.05,0,3.03,0,1.05
"82",2105,2.19,0.84,0,2.19,0,0.84
"83",2106,1.53,0.66,0,1.53,0,0.66
"84",2107,1.03,0.5,0,1.03,0,0.5
"85",2108,0.66,0.37,0,0.66,0,0.37
"86",2109,0.4,0.26,0,0.4,0,0.26
"87",2110,0.23,0.17,0,0.23,0,0.17
"88",2111,0.12,0.11,0,0.12,0,0.11
"89",2112,0.06,0.06,0,0.06,0,0.06
"90",2113,0.03,0.03,0,0.03,0,0.03
"91",2114,0.01,0.02,0,0.01,0,0.02
"92",2115,0,0.01,0,0,0,0.01
"93",2116,0,0,0,0,0,0
"94",2117,0,0,0,0,0,0
"95",2118,0,0,0,0,0,0
"96",2119,0,0,0,0,0,0
"97",2120,0,0,0,0,0,0
"98",2121,0,0,0,0,0,0
"99",2122,0,0,0,0,0,0
"100",2123,0,0,0,0,0,0
"101",2124,0,0,0,0,0,0
